04-06 16:53:02.879429 [INFO] configInit.py:50 | INFO
04-06 16:53:02.880418 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 16:53:02.881417 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-06 16:53:02.882476 [INFO] configInit.py:53 | python: 3.11.7
04-06 16:53:02.882476 [INFO] configInit.py:55 | 文件初始化成功
04-06 16:53:11.036879 [INFO] login.py:41 | 开始初始化窗口
04-06 16:53:11.041775 [INFO] login.py:48 | 窗口初始化完成
04-06 16:53:51.111660 [INFO] login.py:188 | 注册成功
04-06 16:54:48.484475 [INFO] configInit.py:50 | INFO
04-06 16:54:48.485333 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 16:54:48.495707 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-06 16:54:48.496876 [INFO] configInit.py:53 | python: 3.11.7
04-06 16:54:48.498876 [INFO] configInit.py:55 | 文件初始化成功
04-06 16:54:48.925094 [INFO] login.py:41 | 开始初始化窗口
04-06 16:54:48.928601 [INFO] login.py:48 | 窗口初始化完成
04-06 16:54:58.114121 [INFO] login.py:188 | 注册成功
04-06 16:56:40.990276 [INFO] configInit.py:50 | INFO
04-06 16:56:40.991280 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 16:56:40.991280 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-06 16:56:40.992844 [INFO] configInit.py:53 | python: 3.11.7
04-06 16:56:40.992844 [INFO] configInit.py:55 | 文件初始化成功
04-06 16:56:41.342269 [INFO] login.py:41 | 开始初始化窗口
04-06 16:56:41.345275 [INFO] login.py:48 | 窗口初始化完成
04-06 16:56:53.496562 [INFO] login.py:188 | 注册成功
04-06 16:57:18.339086 [INFO] login.py:86 | 开始登录
04-06 16:57:21.482714 [INFO] login.py:132 | 登录成功
04-06 16:57:21.483715 [INFO] login.py:137 | 下次不自动登录
04-06 16:57:21.514121 [INFO] login.py:145 | 登录成功
04-06 19:23:51.945284 [INFO] configInit.py:50 | INFO
04-06 19:24:41.483060 [INFO] configInit.py:50 | INFO
04-06 19:24:53.702850 [INFO] configInit.py:50 | INFO
04-06 19:24:53.702850 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 19:24:53.704855 [INFO] configInit.py:52 | 当前版本: 0.2.0
04-06 19:24:53.704855 [INFO] configInit.py:53 | python: 3.11.7
04-06 19:24:53.705854 [INFO] configInit.py:55 | 文件初始化成功
04-06 19:24:54.151886 [INFO] login.py:41 | 开始初始化窗口
04-06 19:24:54.155501 [INFO] login.py:48 | 窗口初始化完成
04-06 19:25:00.903278 [INFO] login.py:188 | 注册成功
04-06 19:25:25.540354 [INFO] login.py:86 | 开始登录
04-06 19:25:27.374322 [INFO] login.py:132 | 登录成功
04-06 19:25:27.375412 [INFO] login.py:134 | 下次自动登录
04-06 19:25:27.384953 [INFO] login.py:166 | 加密成功
04-06 19:25:27.417077 [INFO] login.py:145 | 登录成功
04-06 20:49:49.364599 [INFO] configInit.py:50 | INFO
04-06 20:49:49.365597 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 20:49:49.366596 [INFO] configInit.py:52 | 当前版本: 0.2.0
04-06 20:49:49.367464 [INFO] configInit.py:53 | python: 3.11.7
04-06 20:49:49.368471 [INFO] configInit.py:55 | 文件初始化成功
04-06 20:49:49.850889 [INFO] login.py:41 | 开始初始化窗口
04-06 20:49:49.855775 [INFO] login.py:48 | 窗口初始化完成
04-06 20:49:49.899206 [INFO] login.py:67 | 解密成功，自动填写密码
04-06 20:49:51.857759 [INFO] login.py:86 | 开始登录
04-06 20:49:55.704759 [INFO] login.py:132 | 登录成功
04-06 20:49:55.704759 [INFO] login.py:134 | 下次自动登录
04-06 20:49:55.706764 [INFO] login.py:166 | 加密成功
04-06 20:49:55.739957 [INFO] login.py:145 | 登录成功
04-06 22:06:13.519216 [INFO] configInit.py:50 | INFO
04-06 22:06:13.520221 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 22:06:13.521220 [INFO] configInit.py:52 | 当前版本: 0.2.0
04-06 22:06:13.521220 [INFO] configInit.py:53 | python: 3.11.7
04-06 22:06:13.522221 [INFO] configInit.py:55 | 文件初始化成功
04-06 22:06:13.887753 [INFO] login.py:41 | 开始初始化窗口
04-06 22:06:13.890835 [INFO] login.py:48 | 窗口初始化完成
04-06 22:06:26.089541 [INFO] login.py:188 | 注册成功
04-06 22:07:08.722480 [INFO] login.py:86 | 开始登录
04-06 22:07:12.540474 [INFO] login.py:132 | 登录成功
04-06 22:07:12.541478 [INFO] login.py:134 | 下次自动登录
04-06 22:07:12.551683 [INFO] login.py:166 | 加密成功
04-06 22:07:12.596651 [INFO] login.py:145 | 登录成功
04-06 22:12:35.072815 [INFO] configInit.py:50 | INFO
04-06 22:12:35.073826 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 22:12:35.075015 [INFO] configInit.py:52 | 当前版本: 0.2.0
04-06 22:12:35.076021 [INFO] configInit.py:53 | python: 3.11.7
04-06 22:12:35.076021 [INFO] configInit.py:55 | 文件初始化成功
04-06 22:12:35.450968 [INFO] login.py:41 | 开始初始化窗口
04-06 22:12:35.453969 [INFO] login.py:48 | 窗口初始化完成
04-06 22:12:43.099491 [INFO] login.py:188 | 注册成功
04-06 22:13:01.535312 [INFO] login.py:86 | 开始登录
04-06 22:13:02.781780 [INFO] login.py:132 | 登录成功
04-06 22:13:02.782788 [INFO] login.py:134 | 下次自动登录
04-06 22:13:02.792304 [INFO] login.py:166 | 加密成功
04-06 22:13:02.822659 [INFO] login.py:145 | 登录成功
04-06 22:25:38.605724 [INFO] configInit.py:50 | INFO
04-06 22:25:38.607227 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 22:25:38.608230 [INFO] configInit.py:52 | 当前版本: 0.2.0
04-06 22:25:38.609229 [INFO] configInit.py:53 | python: 3.11.7
04-06 22:25:38.610233 [INFO] configInit.py:55 | 文件初始化成功
04-06 22:25:39.576287 [INFO] login.py:41 | 开始初始化窗口
04-06 22:25:39.581795 [INFO] login.py:48 | 窗口初始化完成
04-06 22:25:50.767002 [INFO] login.py:188 | 注册成功
04-06 22:26:08.079895 [INFO] login.py:86 | 开始登录
04-06 22:26:18.560861 [INFO] login.py:132 | 登录成功
04-06 22:26:18.561859 [INFO] login.py:134 | 下次自动登录
04-06 22:26:18.576367 [INFO] login.py:166 | 加密成功
04-06 22:26:18.605699 [INFO] login.py:145 | 登录成功
04-06 22:51:52.731161 [INFO] configInit.py:50 | INFO
04-06 22:51:52.732172 [INFO] configInit.py:51 | 鸣谢: duckweed
04-06 22:51:52.733161 [INFO] configInit.py:52 | 当前版本: 0.2.0
04-06 22:51:52.734160 [INFO] configInit.py:53 | python: 3.11.7
04-06 22:51:52.735166 [INFO] configInit.py:55 | 文件初始化成功
04-06 22:51:53.356664 [INFO] login.py:41 | 开始初始化窗口
04-06 22:51:53.361441 [INFO] login.py:48 | 窗口初始化完成
04-06 22:51:53.395693 [INFO] login.py:67 | 解密成功，自动填写密码
04-06 22:51:56.879876 [INFO] login.py:86 | 开始登录
04-06 22:52:00.114483 [INFO] login.py:132 | 登录成功
04-06 22:52:00.115483 [INFO] login.py:134 | 下次自动登录
04-06 22:52:00.117991 [INFO] login.py:166 | 加密成功
04-06 22:52:00.157620 [INFO] login.py:145 | 登录成功
